HexCer-NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NS(d14:3/23:1)+H,736.5728,574.5199,556.5093,538.4988,222.1853,204.1747,352.3574,192.1747
HexCer-NS(d14:3/24:0)+H,752.6041,590.5512,572.5406,554.5301,222.1853,204.1747,368.3887,192.1747
HexCer-NS(d14:3/24:1)+H,750.5884,588.5356,570.525,552.5144,222.1853,204.1747,366.373,192.1747
HexCer-NS(d14:3/24:2)+H,748.5728,586.5199,568.5093,550.4988,222.1853,204.1747,364.3574,192.1747
HexCer-NS(d14:3/25:0)+H,766.6197,604.5668,586.5563,568.5457,222.1853,204.1747,382.4044,192.1747
HexCer-NS(d14:3/25:1)+H,764.6041,602.5512,584.5406,566.5301,222.1853,204.1747,380.3887,192.1747
HexCer-NS(d14:3/26:0)+H,780.6353,618.5825,600.572,582.5613,222.1853,204.1747,396.42,192.1747
HexCer-NS(d14:3/26:1)+H,778.6197,616.5668,598.5563,580.5457,222.1853,204.1747,394.4044,192.1747
HexCer-NS(d14:3/26:2)+H,776.6041,614.5512,596.5406,578.5301,222.1853,204.1747,392.3887,192.1747
HexCer-NS(d14:3/27:0)+H,794.651,632.5981,614.5876,596.577,222.1853,204.1747,410.4356,192.1747
HexCer-NS(d14:3/27:1)+H,792.6353,630.5825,612.572,594.5613,222.1853,204.1747,408.42,192.1747
HexCer-NS(d14:3/28:0)+H,808.6666,646.6138,628.6032,610.5927,222.1853,204.1747,424.4513,192.1747
HexCer-NS(d14:3/28:1)+H,806.651,644.5981,626.5876,608.577,222.1853,204.1747,422.4356,192.1747
HexCer-NS(d14:3/28:2)+H,804.6353,642.5825,624.572,606.5613,222.1853,204.1747,420.42,192.1747
HexCer-NS(d14:3/29:0)+H,822.6823,660.6295,642.6189,624.6083,222.1853,204.1747,438.4669,192.1747
HexCer-NS(d14:3/29:1)+H,820.6666,658.6138,640.6032,622.5927,222.1853,204.1747,436.4513,192.1747
HexCer-NS(d14:3/30:0)+H,836.6979,674.6451,656.6345,638.624,222.1853,204.1747,452.4826,192.1747
HexCer-NS(d14:3/30:1)+H,834.6823,672.6295,654.6189,636.6083,222.1853,204.1747,450.4669,192.1747
HexCer-NS(d14:3/30:2)+H,832.6666,670.6138,652.6032,634.5927,222.1853,204.1747,448.4513,192.1747
HexCer-NS(d14:3/31:0)+H,850.7136,688.6608,670.6502,652.6396,222.1853,204.1747,466.4983,192.1747
HexCer-NS(d14:3/31:1)+H,848.6979,686.6451,668.6345,650.624,222.1853,204.1747,464.4826,192.1747
HexCer-NS(d14:3/32:0)+H,864.7292,702.6764,684.6658,666.6553,222.1853,204.1747,480.5139,192.1747
HexCer-NS(d14:3/32:1)+H,862.7136,700.6608,682.6502,664.6396,222.1853,204.1747,478.4983,192.1747
HexCer-NS(d14:3/32:2)+H,860.6979,698.6451,680.6345,662.624,222.1853,204.1747,476.4826,192.1747
HexCer-NS(d14:3/33:0)+H,878.7449,716.6921,698.6815,680.6709,222.1853,204.1747,494.5295,192.1747
HexCer-NS(d14:3/33:1)+H,876.7292,714.6764,696.6658,678.6553,222.1853,204.1747,492.5139,192.1747
HexCer-NS(d14:3/34:0)+H,892.7606,730.7077,712.6971,694.6866,222.1853,204.1747,508.5452,192.1747
HexCer-NS(d14:3/34:1)+H,890.7449,728.6921,710.6815,692.6709,222.1853,204.1747,506.5295,192.1747
HexCer-NS(d14:3/34:2)+H,888.7292,726.6764,708.6658,690.6553,222.1853,204.1747,504.5139,192.1747
HexCer-NS(d14:3/35:0)+H,906.7762,744.7234,726.7128,708.7022,222.1853,204.1747,522.5609,192.1747
HexCer-NS(d14:3/35:1)+H,904.7606,742.7077,724.6971,706.6866,222.1853,204.1747,520.5452,192.1747
HexCer-NS(d14:3/36:0)+H,920.7919,758.739,740.7285,722.7179,222.1853,204.1747,536.5765,192.1747
HexCer-NS(d14:3/36:1)+H,918.7762,756.7234,738.7128,720.7022,222.1853,204.1747,534.5609,192.1747
HexCer-NS(d14:3/36:2)+H,916.7606,754.7077,736.6971,718.6866,222.1853,204.1747,532.5452,192.1747
HexCer-NS(d14:3/38:0)+H,948.8231,786.7703,768.7598,750.7491,222.1853,204.1747,564.6078,192.1747
HexCer-NS(d14:3/38:1)+H,946.8075,784.7546,766.7441,748.7335,222.1853,204.1747,562.5922,192.1747
HexCer-NS(d14:3/38:2)+H,944.7919,782.739,764.7285,746.7179,222.1853,204.1747,560.5765,192.1747
HexCer-NS(d14:3/40:0)+H,976.8544,814.8016,796.791,778.7805,222.1853,204.1747,592.6391,192.1747
HexCer-NS(d14:3/40:1)+H,974.8388,812.7859,794.7754,776.7648,222.1853,204.1747,590.6235,192.1747
HexCer-NS(d14:3/40:2)+H,972.8231,810.7703,792.7598,774.7491,222.1853,204.1747,588.6078,192.1747
HexCer-NS(d14:3/42:0)+H,1004.886,842.8329,824.8223,806.8118,222.1853,204.1747,620.6704,192.1747
HexCer-NS(d14:3/42:1)+H,1002.87,840.8173,822.8067,804.7961,222.1853,204.1747,618.6547,192.1747
HexCer-NS(d14:3/42:2)+H,1000.854,838.8016,820.791,802.7805,222.1853,204.1747,616.6391,192.1747
HexCer-NS(d15:1/12:0)+H,602.4632,440.4103,422.3998,404.3892,240.2322,222.2216,200.2009,210.2216
HexCer-NS(d15:1/12:1)+H,600.4475,438.3947,420.3841,402.3736,240.2322,222.2216,198.1853,210.2216
HexCer-NS(d15:1/13:0)+H,616.4788,454.426,436.4154,418.4049,240.2322,222.2216,214.2166,210.2216
HexCer-NS(d15:1/13:1)+H,614.4632,452.4103,434.3998,416.3892,240.2322,222.2216,212.2009,210.2216
HexCer-NS(d15:1/14:0)+H,630.4945,468.4417,450.4311,432.4205,240.2322,222.2216,228.2322,210.2216
HexCer-NS(d15:1/14:1)+H,628.4788,466.426,448.4154,430.4049,240.2322,222.2216,226.2166,210.2216
HexCer-NS(d15:1/15:0)+H,644.5101,482.4573,464.4467,446.4362,240.2322,222.2216,242.2478,210.2216
HexCer-NS(d15:1/15:1)+H,642.4945,480.4417,462.4311,444.4205,240.2322,222.2216,240.2322,210.2216
HexCer-NS(d15:1/16:0)+H,658.5258,496.473,478.4624,460.4518,240.2322,222.2216,256.2635,210.2216
HexCer-NS(d15:1/16:1)+H,656.5101,494.4573,476.4467,458.4362,240.2322,222.2216,254.2478,210.2216
HexCer-NS(d15:1/16:2)+H,654.4945,492.4417,474.4311,456.4205,240.2322,222.2216,252.2322,210.2216
HexCer-NS(d15:1/17:0)+H,672.5414,510.4886,492.478,474.4675,240.2322,222.2216,270.2791,210.2216
HexCer-NS(d15:1/18:0)+H,686.5571,524.5043,506.4937,488.4831,240.2322,222.2216,284.2948,210.2216
HexCer-NS(d15:1/18:1)+H,684.5414,522.4886,504.478,486.4675,240.2322,222.2216,282.2791,210.2216
