HBMP,[M-H]-,[M-FA3-H]-,[FA3+C3H6O4P-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
HBMP(12:0_18:0_16:3)-H,925.6539,675.4606,385.1791,283.2643,249.186,199.1704
HBMP(12:0_18:0_16:4)-H,923.6382,675.4606,383.1635,283.2643,247.1704,199.1704
HBMP(12:0_18:0_18:0)-H,959.7322,675.4606,419.2574,283.2643,283.2643,199.1704
HBMP(12:0_18:0_18:1)-H,957.7166,675.4606,417.2417,283.2643,281.2486,199.1704
HBMP(12:0_18:0_18:2)-H,955.7009,675.4606,415.2261,283.2643,279.233,199.1704
HBMP(12:0_18:0_18:3)-H,953.6852,675.4606,413.2104,283.2643,277.2173,199.1704
HBMP(12:0_18:0_18:4)-H,951.6696,675.4606,411.1948,283.2643,275.2017,199.1704
HBMP(12:0_18:0_18:5)-H,949.6539,675.4606,409.1791,283.2643,273.186,199.1704
HBMP(12:0_18:0_20:0)-H,987.7635,675.4606,447.2887,283.2643,311.2956,199.1704
HBMP(12:0_18:0_20:1)-H,985.7478,675.4606,445.273,283.2643,309.2799,199.1704
HBMP(12:0_18:0_20:2)-H,983.7322,675.4606,443.2574,283.2643,307.2643,199.1704
HBMP(12:0_18:0_20:3)-H,981.7166,675.4606,441.2417,283.2643,305.2486,199.1704
HBMP(12:0_18:0_20:4)-H,979.7009,675.4606,439.2261,283.2643,303.233,199.1704
HBMP(12:0_18:0_20:5)-H,977.6852,675.4606,437.2104,283.2643,301.2173,199.1704
HBMP(12:0_18:0_22:0)-H,1015.795,675.4606,475.3199,283.2643,339.3269,199.1704
HBMP(12:0_18:0_22:1)-H,1013.779,675.4606,473.3043,283.2643,337.3112,199.1704
HBMP(12:0_18:0_22:2)-H,1011.763,675.4606,471.2887,283.2643,335.2956,199.1704
HBMP(12:0_18:0_22:3)-H,1009.748,675.4606,469.273,283.2643,333.2799,199.1704
HBMP(12:0_18:0_22:4)-H,1007.732,675.4606,467.2574,283.2643,331.2643,199.1704
HBMP(12:0_18:0_22:5)-H,1005.717,675.4606,465.2417,283.2643,329.2486,199.1704
HBMP(12:0_18:0_22:6)-H,1003.701,675.4606,463.2261,283.2643,327.233,199.1704
HBMP(12:0_18:1_12:0)-H,873.6226,673.445,335.1635,281.2486,199.1704,199.1704
HBMP(12:0_18:1_14:0)-H,901.6539,673.445,363.1948,281.2486,227.2017,199.1704
HBMP(12:0_18:1_14:1)-H,899.6382,673.445,361.1791,281.2486,225.186,199.1704
HBMP(12:0_18:1_16:0)-H,929.6852,673.445,391.2261,281.2486,255.233,199.1704
HBMP(12:0_18:1_16:1)-H,927.6696,673.445,389.2104,281.2486,253.2173,199.1704
HBMP(12:0_18:1_16:2)-H,925.6539,673.445,387.1948,281.2486,251.2017,199.1704
