OxLPC,[M+HCO2]-,NL_CH3&HCO2,NL_choline&HCO2,NL_R1C2HO,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(20:4(OOO))+HCO2,636.315455,576.294355,505.220855,242.0799,224.0693,168.0431,152.9958,351.21771,96.9696,78.9591
OxLPC(20:5(OOO))+HCO2,634.299855,574.278755,503.205255,242.0799,224.0693,168.0431,152.9958,349.20211,96.9696,78.9591
OxLPC(22:1(OOO))+HCO2,670.393755,610.372655,539.299155,242.0799,224.0693,168.0431,152.9958,385.29601,96.9696,78.9591
OxLPC(22:2(OOO))+HCO2,668.378055,608.356955,537.283455,242.0799,224.0693,168.0431,152.9958,383.28031,96.9696,78.9591
OxLPC(22:3(OOO))+HCO2,666.362455,606.341355,535.267855,242.0799,224.0693,168.0431,152.9958,381.26471,96.9696,78.9591
OxLPC(22:4(OOO))+HCO2,664.346755,604.325655,533.252155,242.0799,224.0693,168.0431,152.9958,379.24901,96.9696,78.9591
OxLPC(22:5(OOO))+HCO2,662.331155,602.310055,531.236555,242.0799,224.0693,168.0431,152.9958,377.23341,96.9696,78.9591
OxLPC(22:6(OOO))+HCO2,660.315455,600.294355,529.220855,242.0799,224.0693,168.0431,152.9958,375.21771,96.9696,78.9591
OxLPC(24:1(OOO))+HCO2,698.425055,638.403955,567.330455,242.0799,224.0693,168.0431,152.9958,413.32731,96.9696,78.9591
OxLPC(14:1(OOOO))+HCO2,574.263475,514.242375,443.168875,242.0799,224.0693,168.0431,152.9958,289.16573,96.9696,78.9591
OxLPC(15:1(OOOO))+HCO2,588.279075,528.257975,457.184475,242.0799,224.0693,168.0431,152.9958,303.18133,96.9696,78.9591
OxLPC(16:1(OOOO))+HCO2,602.294775,542.273675,471.200175,242.0799,224.0693,168.0431,152.9958,317.19703,96.9696,78.9591
OxLPC(17:1(OOOO))+HCO2,616.310375,556.289275,485.215775,242.0799,224.0693,168.0431,152.9958,331.21263,96.9696,78.9591
OxLPC(17:2(OOOO))+HCO2,614.294775,554.273675,483.200175,242.0799,224.0693,168.0431,152.9958,329.19703,96.9696,78.9591
OxLPC(18:1(OOOO))+HCO2,630.326075,570.304975,499.231475,242.0799,224.0693,168.0431,152.9958,345.22833,96.9696,78.9591
OxLPC(18:2(OOOO))+HCO2,628.310375,568.289275,497.215775,242.0799,224.0693,168.0431,152.9958,343.21263,96.9696,78.9591
OxLPC(18:3(OOOO))+HCO2,626.294775,566.273675,495.200175,242.0799,224.0693,168.0431,152.9958,341.19703,96.9696,78.9591
OxLPC(18:4(OOOO))+HCO2,624.279075,564.257975,493.184475,242.0799,224.0693,168.0431,152.9958,339.18133,96.9696,78.9591
OxLPC(20:1(OOOO))+HCO2,658.357375,598.336275,527.262775,242.0799,224.0693,168.0431,152.9958,373.25963,96.9696,78.9591
OxLPC(20:2(OOOO))+HCO2,656.341675,596.320575,525.247075,242.0799,224.0693,168.0431,152.9958,371.24393,96.9696,78.9591
OxLPC(20:3(OOOO))+HCO2,654.326075,594.304975,523.231475,242.0799,224.0693,168.0431,152.9958,369.22833,96.9696,78.9591
OxLPC(20:4(OOOO))+HCO2,652.310375,592.289275,521.215775,242.0799,224.0693,168.0431,152.9958,367.21263,96.9696,78.9591
OxLPC(20:5(OOOO))+HCO2,650.294775,590.273675,519.200175,242.0799,224.0693,168.0431,152.9958,365.19703,96.9696,78.9591
OxLPC(22:1(OOOO))+HCO2,686.388675,626.367575,555.294075,242.0799,224.0693,168.0431,152.9958,401.29093,96.9696,78.9591
OxLPC(22:2(OOOO))+HCO2,684.372975,624.351875,553.278375,242.0799,224.0693,168.0431,152.9958,399.27523,96.9696,78.9591
OxLPC(22:3(OOOO))+HCO2,682.357375,622.336275,551.262775,242.0799,224.0693,168.0431,152.9958,397.25963,96.9696,78.9591
OxLPC(22:4(OOOO))+HCO2,680.341675,620.320575,549.247075,242.0799,224.0693,168.0431,152.9958,395.24393,96.9696,78.9591
OxLPC(22:5(OOOO))+HCO2,678.326075,618.304975,547.231475,242.0799,224.0693,168.0431,152.9958,393.22833,96.9696,78.9591
OxLPC(22:6(OOOO))+HCO2,676.310375,616.289275,545.215775,242.0799,224.0693,168.0431,152.9958,391.21263,96.9696,78.9591
OxLPC(24:1(OOOO))+HCO2,714.419975,654.398875,583.325375,242.0799,224.0693,168.0431,152.9958,429.32223,96.9696,78.9591
OxLPC(14:1(Ke))+HCO2,524.263055,464.241955,393.168455,242.0799,224.0693,168.0431,152.9958,239.16531,96.9696,78.9591
OxLPC(15:1(Ke))+HCO2,538.278655,478.257555,407.184055,242.0799,224.0693,168.0431,152.9958,253.18091,96.9696,78.9591
OxLPC(16:1(Ke))+HCO2,552.294355,492.273255,421.199755,242.0799,224.0693,168.0431,152.9958,267.19661,96.9696,78.9591
OxLPC(17:1(Ke))+HCO2,566.309955,506.288855,435.215355,242.0799,224.0693,168.0431,152.9958,281.21221,96.9696,78.9591
OxLPC(17:2(Ke))+HCO2,564.294355,504.273255,433.199755,242.0799,224.0693,168.0431,152.9958,279.19661,96.9696,78.9591
OxLPC(18:1(Ke))+HCO2,580.325655,520.304555,449.231055,242.0799,224.0693,168.0431,152.9958,295.22791,96.9696,78.9591
OxLPC(18:2(Ke))+HCO2,578.309955,518.288855,447.215355,242.0799,224.0693,168.0431,152.9958,293.21221,96.9696,78.9591
OxLPC(18:3(Ke))+HCO2,576.294355,516.273255,445.199755,242.0799,224.0693,168.0431,152.9958,291.19661,96.9696,78.9591
OxLPC(18:4(Ke))+HCO2,574.278655,514.257555,443.184055,242.0799,224.0693,168.0431,152.9958,289.18091,96.9696,78.9591
OxLPC(20:1(Ke))+HCO2,608.356955,548.335855,477.262355,242.0799,224.0693,168.0431,152.9958,323.25921,96.9696,78.9591
OxLPC(20:2(Ke))+HCO2,606.341255,546.320155,475.246655,242.0799,224.0693,168.0431,152.9958,321.24351,96.9696,78.9591
OxLPC(20:3(Ke))+HCO2,604.325655,544.304555,473.231055,242.0799,224.0693,168.0431,152.9958,319.22791,96.9696,78.9591
OxLPC(20:5(Ke))+HCO2,600.294355,540.273255,469.199755,242.0799,224.0693,168.0431,152.9958,315.19661,96.9696,78.9591
OxLPC(22:1(Ke))+HCO2,636.388255,576.367155,505.293655,242.0799,224.0693,168.0431,152.9958,351.29051,96.9696,78.9591
OxLPC(22:2(Ke))+HCO2,634.372555,574.351455,503.277955,242.0799,224.0693,168.0431,152.9958,349.27481,96.9696,78.9591
OxLPC(22:3(Ke))+HCO2,632.356955,572.335855,501.262355,242.0799,224.0693,168.0431,152.9958,347.25921,96.9696,78.9591
