MGDG,[M+H]+,SN1_acyl_loss,SN1-H2O,SN2_acyl_loss,SN2-H2O
MGDG(16:1_7:0)+H,603.41027,366.18857,348.17801,490.31369,472.30313
MGDG(16:1_8:0)+H,617.42591,380.20421,362.19365,490.31369,472.30313
MGDG(16:1_9:0)+H,631.44157,394.21987,376.20931,490.31371,472.30315
MGDG(16:1_10:0)+H,645.45722,408.23552,390.22496,490.31372,472.30316
MGDG(16:1_11:0)+H,659.47287,422.25117,404.24061,490.31373,472.30317
MGDG(16:1_12:0)+H,673.48853,436.26683,418.25627,490.31375,472.30319
MGDG(16:1_13:0)+H,687.50417,450.28247,432.27191,490.31375,472.30319
MGDG(16:1_14:0)+H,701.51987,464.29817,446.28761,490.31381,472.30325
MGDG(16:1_14:1)+H,699.50417,462.28247,444.27191,490.31375,472.30319
MGDG(16:1_15:0)+H,715.53547,478.31377,460.30321,490.31377,472.30321
MGDG(16:1_15:1)+H,713.51987,476.29817,458.28761,490.31381,472.30325
