OxLPC,[M+H]+,MH-PC,MH-Tail1+H2O,PC Head,exp1,exp2,exp3
OxLPC(17:2(Ke))+H,520.30346,337.23746,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:1(Ke))+H,536.33476,353.26876,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:2(Ke))+H,534.31906,351.25306,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:3(Ke))+H,532.30346,349.23746,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:4(Ke))+H,530.28776,347.22176,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:1(Ke))+H,564.36606,381.30006,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:2(Ke))+H,562.35036,379.28436,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:3(Ke))+H,560.33476,377.26876,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:5(Ke))+H,556.30346,373.23746,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:1(Ke))+H,592.39736,409.33136,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:2(Ke))+H,590.38166,407.31566,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:3(Ke))+H,588.36606,405.30006,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:4(Ke))+H,586.35036,403.28436,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:5(Ke))+H,584.33476,401.26876,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:6(Ke))+H,582.31906,399.25306,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(24:1(Ke))+H,620.42866,437.36266,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(14:1(Ke,OH))+H",496.26708,313.20108,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(15:1(Ke,OH))+H",510.28268,327.21668,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(16:1(Ke,OH))+H",524.29838,341.23238,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(17:1(Ke,OH))+H",538.31398,355.24798,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(17:2(Ke,OH))+H",536.29838,353.23238,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(18:1(Ke,OH))+H",552.32968,369.26368,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(18:2(Ke,OH))+H",550.31398,367.24798,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(18:3(Ke,OH))+H",548.29838,365.23238,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(18:4(Ke,OH))+H",546.28268,363.21668,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(20:1(Ke,OH))+H",580.36098,397.29498,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(20:2(Ke,OH))+H",578.34528,395.27928,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(20:3(Ke,OH))+H",576.32968,393.26368,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(20:4(Ke,OH))+H",574.31398,391.24798,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(20:5(Ke,OH))+H",572.29838,389.23238,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(22:1(Ke,OH))+H",608.39228,425.32628,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(22:2(Ke,OH))+H",606.37658,423.31058,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(22:3(Ke,OH))+H",604.36098,421.29498,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(22:4(Ke,OH))+H",602.34528,419.27928,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(22:5(Ke,OH))+H",600.32968,417.26368,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(22:6(Ke,OH))+H",598.31398,415.24798,258.11015,184.07332,124.9994,104.1069,86.0963
"OxLPC(24:1(Ke,OH))+H",636.42358,453.35758,258.11015,184.07332,124.9994,104.1069,86.0963
