PG,[M+H]+,NL Head,FA1_NL_OH,FA2_NL_OH,exp_1,exp_2,exp_3
PG(15:0_22:0)+H,793.59541,622.58951,299.2581,397.3676,71.0856,95.0855,123.1168
PG(15:0_22:1)+H,791.57981,620.57391,299.2581,395.352,71.0856,95.0855,123.1168
PG(15:0_22:2)+H,789.56411,618.55821,299.2581,393.3363,71.0856,95.0855,123.1168
PG(15:0_22:3)+H,787.54851,616.54261,299.2581,391.3207,71.0856,95.0855,123.1168
PG(15:0_22:4)+H,785.53281,614.52691,299.2581,389.305,71.0856,95.0855,123.1168
PG(15:0_22:5)+H,783.51721,612.51131,299.2581,387.2894,71.0856,95.0855,123.1168
PG(15:0_22:6)+H,781.50151,610.49561,299.2581,385.2737,71.0856,95.0855,123.1168
PG(15:0_23:0)+H,807.61111,636.60521,299.2581,411.3833,71.0856,95.0855,123.1168
PG(15:0_24:0)+H,821.62671,650.62081,299.2581,425.3989,71.0856,95.0855,123.1168
PG(15:0_24:1)+H,819.61111,648.60521,299.2581,423.3833,71.0856,95.0855,123.1168
PG(15:0_25:0)+H,835.64241,664.63651,299.2581,439.4146,71.0856,95.0855,123.1168
PG(15:0_26:0)+H,849.65801,678.65211,299.2581,453.4302,71.0856,95.0855,123.1168
PG(15:1_15:1)+H,691.45451,520.44861,297.2424,297.2424,71.0856,95.0855,123.1168
PG(15:1_16:0)+H,707.48581,536.47991,297.2424,313.2737,71.0856,95.0855,123.1168
PG(15:1_16:1)+H,705.47021,534.46431,297.2424,311.2581,71.0856,95.0855,123.1168
PG(15:1_17:0)+H,721.50151,550.49561,297.2424,327.2894,71.0856,95.0855,123.1168
PG(15:1_17:1)+H,719.48581,548.47991,297.2424,325.2737,71.0856,95.0855,123.1168
PG(15:1_17:2)+H,717.47021,546.46431,297.2424,323.2581,71.0856,95.0855,123.1168
PG(15:1_18:0)+H,735.51711,564.51121,297.2424,341.305,71.0856,95.0855,123.1168
PG(15:1_18:1)+H,733.50151,562.49561,297.2424,339.2894,71.0856,95.0855,123.1168
PG(15:1_18:2)+H,731.48581,560.47991,297.2424,337.2737,71.0856,95.0855,123.1168
PG(15:1_18:3)+H,729.47021,558.46431,297.2424,335.2581,71.0856,95.0855,123.1168
PG(15:1_18:4)+H,727.45451,556.44861,297.2424,333.2424,71.0856,95.0855,123.1168
PG(15:1_19:0)+H,749.53281,578.52691,297.2424,355.3207,71.0856,95.0855,123.1168
PG(15:1_20:0)+H,763.54841,592.54251,297.2424,369.3363,71.0856,95.0855,123.1168
PG(15:1_20:1)+H,761.53281,590.52691,297.2424,367.3207,71.0856,95.0855,123.1168
PG(15:1_20:2)+H,759.51711,588.51121,297.2424,365.305,71.0856,95.0855,123.1168
PG(15:1_20:3)+H,757.50151,586.49561,297.2424,363.2894,71.0856,95.0855,123.1168
PG(15:1_20:4)+H,755.48581,584.47991,297.2424,361.2737,71.0856,95.0855,123.1168
PG(15:1_20:5)+H,753.47021,582.46431,297.2424,359.2581,71.0856,95.0855,123.1168
PG(15:1_21:0)+H,777.56411,606.55821,297.2424,383.352,71.0856,95.0855,123.1168
PG(15:1_22:0)+H,791.57971,620.57381,297.2424,397.3676,71.0856,95.0855,123.1168
PG(15:1_22:1)+H,789.56411,618.55821,297.2424,395.352,71.0856,95.0855,123.1168
PG(15:1_22:2)+H,787.54841,616.54251,297.2424,393.3363,71.0856,95.0855,123.1168
PG(15:1_22:3)+H,785.53281,614.52691,297.2424,391.3207,71.0856,95.0855,123.1168
PG(15:1_22:4)+H,783.51711,612.51121,297.2424,389.305,71.0856,95.0855,123.1168
PG(15:1_22:5)+H,781.50151,610.49561,297.2424,387.2894,71.0856,95.0855,123.1168
PG(15:1_22:6)+H,779.48581,608.47991,297.2424,385.2737,71.0856,95.0855,123.1168
PG(15:1_23:0)+H,805.59541,634.58951,297.2424,411.3833,71.0856,95.0855,123.1168
PG(15:1_24:0)+H,819.61101,648.60511,297.2424,425.3989,71.0856,95.0855,123.1168
PG(15:1_24:1)+H,817.59541,646.58951,297.2424,423.3833,71.0856,95.0855,123.1168
PG(15:1_25:0)+H,833.62671,662.62081,297.2424,439.4146,71.0856,95.0855,123.1168
PG(15:1_26:0)+H,847.64231,676.63641,297.2424,453.4302,71.0856,95.0855,123.1168
PG(16:0_16:0)+H,723.51711,552.51121,313.2737,313.2737,71.0856,95.0855,123.1168
PG(16:0_16:1)+H,721.50151,550.49561,313.2737,311.2581,71.0856,95.0855,123.1168
PG(16:0_17:0)+H,737.53281,566.52691,313.2737,327.2894,71.0856,95.0855,123.1168
PG(16:0_17:1)+H,735.51711,564.51121,313.2737,325.2737,71.0856,95.0855,123.1168
