Sulfatide,[M-H]-,M-H-H2O-,prec-_sn2,prec-_sn2-H20,Ion_C6H9O8S-,ion_SO4H-
Sulfatide(d18:2_16:0)-H,776.498803,758.488243,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_18:0)-H,804.5301031,786.5195431,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_18:2)-H,802.5144531,784.5038931,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_20:0)-H,832.5614033,814.5508433,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_22:0)-H,860.5927034,842.5821434,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_24:0)-H,888.6240035,870.6134435,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_24:1)-H,886.6083534,868.5977934,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_24:4)-H,880.5614033,862.5508433,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_26:0)-H,916.6553036,898.6447436,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_26:1)-H,914.6396536,896.6290936,538.2693836,520.2588236,241.00236,96.96011
