PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T1Ketene&CH3&HCO2,NL_T2Ketene&CH3&HCO3,NL_T1RCOOH&CH3&HCO2,NL_T2RCOOH&CH3&HCO3,GlyceroPC_NLCH3&H2O,T1_RCOO-,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PC(12:0_26:0)+HCO2,862.65428,802.63314,731.55964,620.46607,424.24697,602.45551,406.23641,224.06881,199.17035,395.38945,168.04314,152.99586,96.96964,78.95852
PC(13:0_13:0)+HCO2,694.46658,634.44544,563.37194,438.26267,438.26267,420.25211,420.25211,224.06881,213.18605,213.18605,168.04314,152.99586,96.96964,78.95852
PC(13:0_14:0)+HCO2,708.48218,648.46104,577.38754,452.27827,438.26267,434.26771,420.25211,224.06881,213.18605,227.20165,168.04314,152.99586,96.96964,78.95852
PC(13:0_14:1)+HCO2,706.46658,646.44544,575.37194,450.26267,438.26267,432.25211,420.25211,224.06881,213.18605,225.18605,168.04314,152.99586,96.96964,78.95852
PC(13:0_15:0)+HCO2,722.49788,662.47674,591.40324,466.29397,438.26267,448.28341,420.25211,224.06881,213.18605,241.21735,168.04314,152.99586,96.96964,78.95852
PC(13:0_15:1)+HCO2,720.48218,660.46104,589.38754,464.27827,438.26267,446.26771,420.25211,224.06881,213.18605,239.20165,168.04314,152.99586,96.96964,78.95852
PC(13:0_16:0)+HCO2,736.51348,676.49234,605.41884,480.30957,438.26267,462.29901,420.25211,224.06881,213.18605,255.23295,168.04314,152.99586,96.96964,78.95852
PC(13:0_16:1)+HCO2,734.49788,674.47674,603.40324,478.29397,438.26267,460.28341,420.25211,224.06881,213.18605,253.21735,168.04314,152.99586,96.96964,78.95852
PC(13:0_17:0)+HCO2,750.52918,690.50804,619.43454,494.32527,438.26267,476.31471,420.25211,224.06881,213.18605,269.24865,168.04314,152.99586,96.96964,78.95852
PC(13:0_17:1)+HCO2,748.51348,688.49234,617.41884,492.30957,438.26267,474.29901,420.25211,224.06881,213.18605,267.23295,168.04314,152.99586,96.96964,78.95852
PC(13:0_17:2)+HCO2,746.49788,686.47674,615.40324,490.29397,438.26267,472.28341,420.25211,224.06881,213.18605,265.21735,168.04314,152.99586,96.96964,78.95852
PC(13:0_18:0)+HCO2,764.54478,704.52364,633.45014,508.34087,438.26267,490.33031,420.25211,224.06881,213.18605,283.26425,168.04314,152.99586,96.96964,78.95852
