GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(14:1_20:5)+NH4,778.51054,585.4519,567.44134,359.25873,283.22745
GlcADG(14:1_21:0)+NH4,802.60444,609.5458,591.53524,383.35263,283.22751
GlcADG(14:1_22:0)+NH4,816.62009,623.56145,605.55089,397.36828,283.22752
GlcADG(14:1_22:1)+NH4,814.60444,621.5458,603.53524,395.35263,283.22751
GlcADG(14:1_22:2)+NH4,812.58879,619.53015,601.51959,393.33698,283.2275
GlcADG(14:1_22:4)+NH4,808.55749,615.49885,597.48829,389.30568,283.22748
GlcADG(14:1_22:5)+NH4,806.54184,613.4832,595.47264,387.29003,283.22747
GlcADG(14:1_22:6)+NH4,804.52619,611.46755,593.45699,385.27438,283.22746
GlcADG(14:1_23:0)+NH4,830.63574,637.5771,619.56654,411.38393,283.22753
GlcADG(14:1_24:0)+NH4,844.65139,651.59275,633.58219,425.39958,283.22754
GlcADG(14:1_24:1)+NH4,842.63574,649.5771,631.56654,423.38393,283.22753
GlcADG(14:1_24:4)+NH4,836.58879,643.53015,625.51959,417.33698,283.2275
GlcADG(14:1_25:0)+NH4,858.66704,665.6084,647.59784,439.41523,283.22755
GlcADG(14:1_26:0)+NH4,872.68269,679.62405,661.61349,453.43088,283.22756
GlcADG(14:1_26:1)+NH4,870.66704,677.6084,659.59784,451.41523,283.22755
GlcADG(14:1_26:2)+NH4,868.65139,675.59275,657.58219,449.39958,283.22754
GlcADG(14:1_3:0)+NH4,550.32273,357.26409,339.25353,131.07093,283.22733
GlcADG(14:1_4:0)+NH4,564.33838,371.27974,353.26918,145.08658,283.22734
GlcADG(14:1_5:0)+NH4,578.35403,385.29539,367.28483,159.10223,283.22735
GlcADG(14:1_6:0)+NH4,592.36968,399.31104,381.30048,173.11788,283.22736
GlcADG(14:1_7:0)+NH4,606.38533,413.32669,395.31613,187.13353,283.22737
GlcADG(14:1_8:0)+NH4,620.40098,427.34234,409.33178,201.14918,283.22738
GlcADG(14:1_9:0)+NH4,634.41664,441.358,423.34744,215.16483,283.22739
GlcADG(15:0_15:0)+NH4,734.54184,541.4832,523.47264,299.25875,299.25875
GlcADG(15:0_15:1)+NH4,732.52619,539.46755,521.45699,297.2431,299.25874
GlcADG(15:0_16:0)+NH4,748.55749,555.49885,537.48829,313.2744,299.25876
