LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [14_14_(54)],1796.211572,1714.229592,1698.234672,1552.007852,1552.007852,1454.030952,1454.030952
LipidA-PP [14_14_(56)],1824.242872,1742.260892,1726.265972,1580.039152,1580.039152,1482.062252,1482.062252
LipidA-PP [14_14_(58)],1852.274173,1770.292193,1754.297273,1608.070453,1608.070453,1510.093553,1510.093553
LipidA-PP [14_14_(60)],1880.305473,1798.323493,1782.328573,1636.101753,1636.101753,1538.124853,1538.124853
LipidA-PP [14_14_(62)],1908.336773,1826.354793,1810.359873,1664.133053,1664.133053,1566.156153,1566.156153
LipidA-PP [14_14_(64)],1936.368073,1854.386093,1838.391173,1692.164353,1692.164353,1594.187453,1594.187453
LipidA-PP [14_14_(66)],1964.399373,1882.417393,1866.422473,1720.195653,1720.195653,1622.218753,1622.218753
LipidA-PP [14_14_(68)],1992.430673,1910.448693,1894.453773,1748.226953,1748.226953,1650.250053,1650.250053
LipidA-PP [14_14_(70)],2020.461973,1938.479993,1922.485073,1776.258253,1776.258253,1678.281353,1678.281353
LipidA-PP [14_14_(72)],2048.493273,1966.511293,1950.516373,1804.289553,1804.289553,1706.312653,1706.312653
LipidA-PP [14_16_(40)],1628.023772,1546.041792,1530.046872,1383.820052,1355.788772,1285.843152,1257.811872
LipidA-PP [14_16_(42)],1656.055072,1574.073092,1558.078172,1411.851352,1383.820072,1313.874452,1285.843172
LipidA-PP [14_16_(44)],1684.086372,1602.104392,1586.109472,1439.882652,1411.851372,1341.905752,1313.874472
LipidA-PP [14_16_(46)],1712.117672,1630.135692,1614.140772,1467.913952,1439.882672,1369.937052,1341.905772
LipidA-PP [14_16_(48)],1740.148972,1658.166992,1642.172072,1495.945252,1467.913972,1397.968352,1369.937072
LipidA-PP [14_16_(50)],1768.180272,1686.198292,1670.203372,1523.976552,1495.945272,1425.999652,1397.968372
LipidA-PP [14_16_(52)],1796.211572,1714.229592,1698.234672,1552.007852,1523.976572,1454.030952,1425.999672
LipidA-PP [14_16_(54)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1482.062252,1454.030972
LipidA-PP [14_16_(56)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1510.093553,1482.062273
LipidA-PP [14_16_(58)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1538.124853,1510.093573
LipidA-PP [14_16_(60)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1566.156153,1538.124873
