HexCer-NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NDS(d16:0/35:1)+H,938.8388,776.7859,758.7754,740.7648,256.2635,238.2529,520.5452,226.2529
HexCer-NDS(d16:0/36:0)+H,954.8701,792.8173,774.8067,756.7961,256.2635,238.2529,536.5765,226.2529
HexCer-NDS(d16:0/36:1)+H,952.8544,790.8016,772.791,754.7805,256.2635,238.2529,534.5609,226.2529
HexCer-NDS(d16:0/36:2)+H,950.8388,788.7859,770.7754,752.7648,256.2635,238.2529,532.5452,226.2529
HexCer-NDS(d16:0/38:0)+H,982.9014,820.8486,802.838,784.8274,256.2635,238.2529,564.6078,226.2529
HexCer-NDS(d16:0/38:1)+H,980.8857,818.8329,800.8223,782.8118,256.2635,238.2529,562.5922,226.2529
HexCer-NDS(d16:0/38:2)+H,978.8701,816.8173,798.8067,780.7961,256.2635,238.2529,560.5765,226.2529
HexCer-NDS(d16:0/40:0)+H,1010.933,848.8799,830.8693,812.8587,256.2635,238.2529,592.6391,226.2529
HexCer-NDS(d16:0/40:1)+H,1008.917,846.8642,828.8536,810.8431,256.2635,238.2529,590.6235,226.2529
HexCer-NDS(d16:0/40:2)+H,1006.901,844.8486,826.838,808.8274,256.2635,238.2529,588.6078,226.2529
HexCer-NDS(d16:0/42:0)+H,1038.964,876.9111,858.9006,840.89,256.2635,238.2529,620.6704,226.2529
HexCer-NDS(d16:0/42:1)+H,1036.948,874.8955,856.8849,838.8744,256.2635,238.2529,618.6547,226.2529
HexCer-NDS(d16:0/42:2)+H,1034.933,872.8799,854.8693,836.8587,256.2635,238.2529,616.6391,226.2529
HexCer-NDS(d17:0/12:0)+H,632.5101,470.4573,452.4467,434.4362,270.2791,252.2686,200.2009,240.2686
HexCer-NDS(d17:0/12:1)+H,630.4945,468.4417,450.4311,432.4205,270.2791,252.2686,198.1853,240.2686
HexCer-NDS(d17:0/13:0)+H,646.5258,484.473,466.4624,448.4518,270.2791,252.2686,214.2166,240.2686
HexCer-NDS(d17:0/13:1)+H,644.5101,482.4573,464.4467,446.4362,270.2791,252.2686,212.2009,240.2686
HexCer-NDS(d17:0/14:0)+H,660.5414,498.4886,480.478,462.4675,270.2791,252.2686,228.2322,240.2686
HexCer-NDS(d17:0/14:1)+H,658.5258,496.473,478.4624,460.4518,270.2791,252.2686,226.2166,240.2686
HexCer-NDS(d17:0/15:0)+H,674.5571,512.5043,494.4937,476.4831,270.2791,252.2686,242.2478,240.2686
HexCer-NDS(d17:0/15:1)+H,672.5414,510.4886,492.478,474.4675,270.2791,252.2686,240.2322,240.2686
HexCer-NDS(d17:0/16:0)+H,688.5728,526.5199,508.5093,490.4988,270.2791,252.2686,256.2635,240.2686
HexCer-NDS(d17:0/16:1)+H,686.5571,524.5043,506.4937,488.4831,270.2791,252.2686,254.2478,240.2686
HexCer-NDS(d17:0/16:2)+H,684.5414,522.4886,504.478,486.4675,270.2791,252.2686,252.2322,240.2686
HexCer-NDS(d17:0/17:0)+H,702.5884,540.5356,522.525,504.5144,270.2791,252.2686,270.2791,240.2686
