CL,[M+NH4]+,(sn1+sn2)+,(sn1'+sn2')+
CL(32:3)(38:1)+NH4,1447.0372,545.4564872,633.5815872
CL(32:3)(38:2)+NH4,1445.0216,545.4564872,631.5659872
CL(32:3)(38:3)+NH4,1443.006,545.4564872,629.5503872
CL(32:3)(38:4)+NH4,1440.9903,545.4564872,627.5346872
CL(32:3)(38:5)+NH4,1438.9747,545.4564872,625.5190872
CL(32:3)(38:6)+NH4,1436.9591,545.4564872,623.5034872
CL(32:3)(38:7)+NH4,1434.9434,545.4564872,621.4877872
CL(32:3)(40:0)+NH4,1477.0842,545.4564872,663.6285872
CL(32:3)(40:1)+NH4,1475.0685,545.4564872,661.6128872
CL(32:3)(40:2)+NH4,1473.0529,545.4564872,659.5972872
CL(32:3)(40:3)+NH4,1471.0372,545.4564872,657.5815872
CL(32:3)(40:4)+NH4,1469.0216,545.4564872,655.5659872
CL(32:3)(40:5)+NH4,1467.006,545.4564872,653.5503872
CL(32:3)(40:6)+NH4,1464.9903,545.4564872,651.5346872
CL(32:3)(40:7)+NH4,1462.9747,545.4564872,649.5190872
CL(32:3)(40:8)+NH4,1460.9591,545.4564872,647.5034872
CL(32:3)(40:9)+NH4,1458.9434,545.4564872,645.4877872
CL(32:3)(42:0)+NH4,1505.1155,545.4564872,691.6598872
CL(32:3)(42:1)+NH4,1503.0998,545.4564872,689.6441872
CL(32:3)(42:10)+NH4,1484.9591,545.4564872,671.5034872
CL(32:3)(42:2)+NH4,1501.0842,545.4564872,687.6285872
CL(32:3)(42:3)+NH4,1499.0685,545.4564872,685.6128872
CL(32:3)(42:4)+NH4,1497.0529,545.4564872,683.5972872
CL(32:3)(42:5)+NH4,1495.0372,545.4564872,681.5815872
CL(32:3)(42:6)+NH4,1493.0216,545.4564872,679.5659872
CL(32:3)(42:7)+NH4,1491.006,545.4564872,677.5503872
CL(32:3)(42:8)+NH4,1488.9903,545.4564872,675.5346872
CL(32:3)(42:9)+NH4,1486.9747,545.4564872,673.5190872
CL(32:3)(44:0)+NH4,1533.1467,545.4564872,719.6910872
CL(32:3)(44:10)+NH4,1512.9903,545.4564872,699.5346872
CL(32:3)(44:11)+NH4,1510.9747,545.4564872,697.5190872
CL(32:3)(44:12)+NH4,1508.9591,545.4564872,695.5034872
CL(32:3)(44:5)+NH4,1523.0685,545.4564872,709.6128872
CL(32:3)(44:6)+NH4,1521.0529,545.4564872,707.5972872
CL(32:3)(46:12)+NH4,1536.9892,545.4564872,723.5335872
CL(32:3)(48:12)+NH4,1565.0205,545.4564872,751.5648872
CL(34:0)(34:0)+NH4,1427.0685,579.5346872,579.5346872
CL(34:0)(34:1)+NH4,1425.0529,579.5346872,577.5190872
CL(34:0)(34:2)+NH4,1423.0373,579.5346872,575.5034872
CL(34:0)(34:3)+NH4,1421.0216,579.5346872,573.4877872
CL(34:0)(34:4)+NH4,1419.006,579.5346872,571.4721872
CL(34:0)(36:0)+NH4,1455.0998,579.5346872,607.5659872
CL(34:0)(36:1)+NH4,1453.0842,579.5346872,605.5503872
CL(34:0)(36:2)+NH4,1451.0685,579.5346872,603.5346872
CL(34:0)(36:3)+NH4,1449.0529,579.5346872,601.5190872
CL(34:0)(36:4)+NH4,1447.0373,579.5346872,599.5034872
CL(34:0)(36:5)+NH4,1445.0216,579.5346872,597.4877872
CL(34:0)(36:6)+NH4,1443.006,579.5346872,595.4721872
CL(34:0)(38:0)+NH4,1483.1311,579.5346872,635.5972872
CL(34:0)(38:1)+NH4,1481.1154,579.5346872,633.5815872
CL(34:0)(38:2)+NH4,1479.0998,579.5346872,631.5659872
CL(34:0)(38:3)+NH4,1477.0842,579.5346872,629.5503872
CL(34:0)(38:4)+NH4,1475.0685,579.5346872,627.5346872
CL(34:0)(38:5)+NH4,1473.0529,579.5346872,625.5190872
CL(34:0)(38:6)+NH4,1471.0373,579.5346872,623.5034872
CL(34:0)(38:7)+NH4,1469.0216,579.5346872,621.4877872
CL(34:0)(40:0)+NH4,1511.1624,579.5346872,663.6285872
CL(34:0)(40:1)+NH4,1509.1467,579.5346872,661.6128872
CL(34:0)(40:2)+NH4,1507.1311,579.5346872,659.5972872
CL(34:0)(40:3)+NH4,1505.1154,579.5346872,657.5815872
