PC,[M+H]+,MH-PC,MH-tail1&TrimethylAmine,MH-tail2&TrimethylAmine,MH-Tail1,MH-Tail2,LPC_T1_H,LPC_T2_H,RCOO+58_T1,RCOO+58_T2,PC Head
PC(14:0_24:1)+H,816.64774,633.5817,529.365311,391.224411,588.43881,450.29791,468.30849,606.44939,285.24243,423.38333,184.07332
PC(14:0_25:0)+H,832.67904,649.613,545.396611,391.224411,604.47011,450.29791,468.30849,622.48069,285.24243,439.41463,184.07332
PC(14:0_26:0)+H,846.69464,663.6286,559.412211,391.224411,618.48571,450.29791,468.30849,636.49629,285.24243,453.43023,184.07332
PC(14:1_14:1)+H,674.47564,491.4096,389.208811,389.208811,448.28231,448.28231,466.29289,466.29289,283.22683,283.22683,184.07332
PC(14:1_15:0)+H,690.50694,507.4409,405.240111,389.208811,464.31361,448.28231,466.29289,482.32419,283.22683,299.25813,184.07332
PC(14:1_15:1)+H,688.49124,505.4252,403.224411,389.208811,462.29791,448.28231,466.29289,480.30849,283.22683,297.24243,184.07332
PC(14:1_16:0)+H,704.52254,521.4565,419.255711,389.208811,478.32921,448.28231,466.29289,496.33979,283.22683,313.27373,184.07332
PC(14:1_16:1)+H,702.50694,519.4409,417.240111,389.208811,476.31361,448.28231,466.29289,494.32419,283.22683,311.25813,184.07332
PC(14:1_17:0)+H,718.53824,535.4722,433.271411,389.208811,492.34491,448.28231,466.29289,510.35549,283.22683,327.28943,184.07332
PC(14:1_17:1)+H,716.52254,533.4565,431.255711,389.208811,490.32921,448.28231,466.29289,508.33979,283.22683,325.27373,184.07332
PC(14:1_17:2)+H,714.50694,531.4409,429.240111,389.208811,488.31361,448.28231,466.29289,506.32419,283.22683,323.25813,184.07332
PC(14:1_18:0)+H,732.55384,549.4878,447.287011,389.208811,506.36051,448.28231,466.29289,524.37109,283.22683,341.30503,184.07332
PC(14:1_18:1)+H,730.53824,547.4722,445.271411,389.208811,504.34491,448.28231,466.29289,522.35549,283.22683,339.28943,184.07332
PC(14:1_18:2)+H,728.52254,545.4565,443.255711,389.208811,502.32921,448.28231,466.29289,520.33979,283.22683,337.27373,184.07332
PC(14:1_18:3)+H,726.50694,543.4409,441.240111,389.208811,500.31361,448.28231,466.29289,518.32419,283.22683,335.25813,184.07332
PC(14:1_18:4)+H,724.49124,541.4252,439.224411,389.208811,498.29791,448.28231,466.29289,516.30849,283.22683,333.24243,184.07332
