SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,MH-PC-Tail,d(MH-Tail),PC Head,CH2CHN(CH3)3
SM(d14:1/20:4)+H,695.51227,512.44623,636.43873,494.43557,208.205945,284.237185,184.07332,86.09648
SM(d14:1/20:5)+H,693.49667,510.43063,634.42313,492.41997,208.205945,282.221585,184.07332,86.09648
SM(d14:1/21:0)+H,717.59057,534.52453,658.51703,516.51387,208.205945,306.315485,184.07332,86.09648
SM(d14:1/22:0)+H,731.60617,548.54013,672.53263,530.52947,208.205945,320.331085,184.07332,86.09648
SM(d14:1/22:1)+H,729.59057,546.52453,670.51703,528.51387,208.205945,318.315485,184.07332,86.09648
SM(d14:1/22:2)+H,727.57487,544.50883,668.50133,526.49817,208.205945,316.299785,184.07332,86.09648
SM(d14:1/22:3)+H,725.55927,542.49323,666.48573,524.48257,208.205945,314.284185,184.07332,86.09648
SM(d14:1/22:4)+H,723.54357,540.47753,664.47003,522.46687,208.205945,312.268485,184.07332,86.09648
SM(d14:1/22:5)+H,721.52797,538.46193,662.45443,520.45127,208.205945,310.252885,184.07332,86.09648
SM(d14:1/22:6)+H,719.51227,536.44623,660.43873,518.43557,208.205945,308.237185,184.07332,86.09648
SM(d14:1/23:0)+H,745.62187,562.55583,686.54833,544.54517,208.205945,334.346785,184.07332,86.09648
SM(d14:1/24:0)+H,759.63747,576.57143,700.56393,558.56077,208.205945,348.362385,184.07332,86.09648
SM(d14:1/24:1)+H,757.62187,574.55583,698.54833,556.54517,208.205945,346.346785,184.07332,86.09648
SM(d14:1/25:0)+H,773.65317,590.58713,714.57963,572.57647,208.205945,362.378085,184.07332,86.09648
SM(d14:1/26:0)+H,787.66877,604.60273,728.59523,586.59207,208.205945,376.393685,184.07332,86.09648
SM(d14:1/8:0)+H,535.38707,352.32103,476.31353,334.31037,208.205945,124.111985,184.07332,86.09648
SM(d15:0/10:0)+H,579.44967,396.38363,520.37613,378.37297,224.237245,152.143285,184.07332,86.09648
SM(d15:0/12:0)+H,607.48097,424.41493,548.40743,406.40427,224.237245,180.174585,184.07332,86.09648
SM(d15:0/13:0)+H,621.49667,438.43063,562.42313,420.41997,224.237245,194.190285,184.07332,86.09648
SM(d15:0/14:0)+H,635.51227,452.44623,576.43873,434.43557,224.237245,208.205885,184.07332,86.09648
SM(d15:0/14:1)+H,633.49667,450.43063,574.42313,432.41997,224.237245,206.190285,184.07332,86.09648
SM(d15:0/15:0)+H,649.52797,466.46193,590.45443,448.45127,224.237245,222.221585,184.07332,86.09648
