OxPC,[M+H]+,M+H-PC,M+H-R1COOH,M+H-R2COOH,M+H-R1CO,M+H-R2CO,PC_head
OxPC(12:0_15:0(COOH))+H,694.46541,511.39935,494.28776,422.26663,512.29834,440.27721,184.07332
OxPC(12:0_6:1(COOH))+H,566.30892,383.24286,366.13127,422.26663,384.14185,440.27721,184.07332
OxPC(12:0_7:1(COOH))+H,580.32457,397.25851,380.14692,422.26663,398.1575,440.27721,184.07332
OxPC(12:0_8:1(COOH))+H,594.34022,411.27416,394.16257,422.26663,412.17315,440.27721,184.07332
OxPC(12:0_9:1(COOH))+H,608.35587,425.28981,408.17822,422.26663,426.1888,440.27721,184.07332
OxPC(12:0_9:2(COOH))+H,606.34022,423.27416,406.16257,422.26663,424.17315,440.27721,184.07332
OxPC(12:0_10:1(COOH))+H,622.37152,439.30546,422.19387,422.26663,440.20445,440.27721,184.07332
OxPC(12:0_10:2(COOH))+H,620.35587,437.28981,420.17822,422.26663,438.1888,440.27721,184.07332
OxPC(12:0_11:1(COOH))+H,636.38717,453.32111,436.20952,422.26663,454.2201,440.27721,184.07332
OxPC(12:0_11:2(COOH))+H,634.37152,451.30546,434.19387,422.26663,452.20445,440.27721,184.07332
OxPC(12:0_12:1(COOH))+H,650.40282,467.33676,450.22517,422.26663,468.23575,440.27721,184.07332
OxPC(12:0_12:2(COOH))+H,648.38717,465.32111,448.20952,422.26663,466.2201,440.27721,184.07332
OxPC(12:0_12:3(COOH))+H,646.37152,463.30546,446.19387,422.26663,464.20445,440.27721,184.07332
OxPC(12:0_13:1(COOH))+H,664.41847,481.35241,464.24082,422.26663,482.2514,440.27721,184.07332
OxPC(12:0_13:2(COOH))+H,662.40282,479.33676,462.22517,422.26663,480.23575,440.27721,184.07332
OxPC(12:0_13:3(COOH))+H,660.38717,477.32111,460.20952,422.26663,478.2201,440.27721,184.07332
OxPC(12:0_14:1(COOH))+H,678.43412,495.36806,478.25647,422.26663,496.26705,440.27721,184.07332
