PMeOH,[M+NH4]+,[M-CH5O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-112+H]+,[M-SN2-112+H]+,SN2-H2O,SN1-H2O,[C4H9O5P+H]+
PMeOH(14:0_20:5)+NH4,698.47552,569.4564,453.2402,379.2245,359.2582,285.2426,285.2212,211.2055,169.026
PMeOH(14:0_21:0)+NH4,722.56952,593.5504,477.3341,379.2246,383.3521,285.2426,309.315,211.2055,169.026
PMeOH(14:0_21:1)+NH4,720.55382,591.5347,475.3185,379.2246,381.3365,285.2426,307.2993,211.2055,169.026
PMeOH(14:0_21:2)+NH4,718.53812,589.519,473.3028,379.2246,379.3208,285.2426,305.2837,211.2055,169.026
PMeOH(14:0_22:0)+NH4,736.58512,607.566,491.3498,379.2246,397.3678,285.2427,323.3306,211.2055,169.026
PMeOH(14:0_22:1)+NH4,734.56952,605.5504,489.3341,379.2246,395.3521,285.2426,321.315,211.2055,169.026
PMeOH(14:0_22:2)+NH4,732.55382,603.5347,487.3185,379.2246,393.3365,285.2426,319.2993,211.2055,169.026
PMeOH(14:0_22:3)+NH4,730.53812,601.519,485.3028,379.2246,391.3208,285.2426,317.2837,211.2055,169.026
PMeOH(14:0_22:4)+NH4,728.52252,599.5034,483.2871,379.2245,389.3051,285.2425,315.2681,211.2055,169.026
PMeOH(14:0_22:5)+NH4,726.50682,597.4877,481.2715,379.2245,387.2895,285.2426,313.2524,211.2055,169.026
PMeOH(14:0_22:6)+NH4,724.49112,595.472,479.2558,379.2245,385.2738,285.2425,311.2368,211.2055,169.026
PMeOH(14:0_23:0)+NH4,750.60072,621.5816,505.3654,379.2246,411.3834,285.2426,337.3463,211.2055,169.026
PMeOH(14:0_24:0)+NH4,764.61652,635.5974,519.381,379.2247,425.3991,285.2427,351.3619,211.2055,169.026
PMeOH(14:0_24:1)+NH4,762.60072,633.5816,517.3654,379.2246,423.3834,285.2426,349.3463,211.2055,169.026
PMeOH(14:0_24:2)+NH4,760.58512,631.566,515.3498,379.2246,421.3678,285.2427,347.3306,211.2055,169.026
PMeOH(14:0_24:4)+NH4,756.55382,627.5347,511.3185,379.2246,417.3365,285.2426,343.2993,211.2055,169.026
PMeOH(14:0_25:0)+NH4,778.63202,649.6129,533.3967,379.2246,439.4147,285.2426,365.3776,211.2055,169.026
PMeOH(14:0_26:0)+NH4,792.64762,663.6285,547.4123,379.2246,453.4303,285.2426,379.3932,211.2055,169.026
PMeOH(14:0_26:1)+NH4,790.63202,661.6129,545.3967,379.2246,451.4147,285.2426,377.3776,211.2055,169.026
PMeOH(14:0_26:2)+NH4,788.61652,659.5974,543.381,379.2247,449.3991,285.2427,375.3619,211.2055,169.026
PMeOH(14:0_26:4)+NH4,784.58512,655.566,539.3498,379.2246,445.3678,285.2427,371.3306,211.2055,169.026
PMeOH(14:0_27:0)+NH4,806.66332,677.6442,561.428,379.2246,467.446,285.2427,393.4088,211.2055,169.026
PMeOH(14:1_14:1)+NH4,620.42862,491.4095,377.2089,377.2089,283.2269,283.2269,209.1899,209.1899,169.026
PMeOH(15:0_14:1)+NH4,636.45992,507.4408,377.2089,393.2402,283.227,299.2582,209.1899,225.2211,169.026
PMeOH(14:1_15:1)+NH4,634.44422,505.4251,391.2245,377.2089,297.2425,283.2269,223.2055,209.1899,169.026
PMeOH(16:0_14:1)+NH4,650.47552,521.4564,377.2089,407.2558,283.2269,313.2738,209.1899,239.2368,169.026
PMeOH(14:1_16:1)+NH4,648.46002,519.4409,405.2402,377.2089,311.2582,283.227,237.2211,209.1899,169.026
PMeOH(14:1_16:2)+NH4,646.44422,517.4251,403.2245,377.2089,309.2425,283.2269,235.2055,209.1899,169.026
PMeOH(14:1_16:3)+NH4,644.42862,515.4095,401.2089,377.2089,307.2269,283.2269,233.1899,209.1899,169.026
PMeOH(14:1_16:4)+NH4,642.41302,513.3939,399.1932,377.2089,305.2112,283.2269,231.1742,209.1899,169.026
PMeOH(17:0_14:1)+NH4,664.49112,535.472,377.2089,421.2714,283.2269,327.2894,209.1899,253.2524,169.026
PMeOH(14:1_17:1)+NH4,662.47552,533.4564,419.2558,377.2089,325.2738,283.2269,251.2368,209.1899,169.026
PMeOH(14:1_17:2)+NH4,660.46002,531.4409,417.2402,377.2089,323.2582,283.227,249.2211,209.1899,169.026
PMeOH(18:0_14:1)+NH4,678.50682,549.4877,377.2089,435.2871,283.2269,341.3051,209.1899,267.2681,169.026
PMeOH(14:1_18:1)+NH4,676.49112,547.472,433.2714,377.2089,339.2894,283.2269,265.2524,209.1899,169.026
PMeOH(14:1_18:2)+NH4,674.47552,545.4564,431.2558,377.2089,337.2738,283.2269,263.2368,209.1899,169.026
PMeOH(14:1_18:3)+NH4,672.46002,543.4409,429.2402,377.2089,335.2582,283.227,261.2212,209.1899,169.026
