GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d17:1/23:3)+HCO2,822.61015,776.60465,614.55185,372.32731,329.30921,223.20728,179.05615
GlcCer_NS(d17:1/23:4)+HCO2,820.59449,774.58899,612.53619,370.31165,327.29355,223.20728,179.05615
GlcCer_NS(d17:1/24:0)+HCO2,842.67279,796.66729,634.61449,392.38995,349.37185,223.20728,179.05615
GlcCer_NS(d17:1/24:1)+HCO2,840.65713,794.65163,632.59883,390.37429,347.35619,223.20728,179.05615
GlcCer_NS(d17:1/24:2)+HCO2,838.64147,792.63597,630.58317,388.35863,345.34053,223.20728,179.05615
GlcCer_NS(d17:1/24:3)+HCO2,836.62581,790.62031,628.56751,386.34297,343.32487,223.20728,179.05615
GlcCer_NS(d17:1/24:4)+HCO2,834.61015,788.60465,626.55185,384.32731,341.30921,223.20728,179.05615
GlcCer_NS(d17:1/25:0)+HCO2,856.68845,810.68295,648.63015,406.40561,363.38751,223.20728,179.05615
GlcCer_NS(d17:1/25:1)+HCO2,854.67279,808.66729,646.61449,404.38995,361.37185,223.20728,179.05615
GlcCer_NS(d17:1/25:2)+HCO2,852.65713,806.65163,644.59883,402.37429,359.35619,223.20728,179.05615
GlcCer_NS(d17:1/25:3)+HCO2,850.64147,804.63597,642.58317,400.35863,357.34053,223.20728,179.05615
GlcCer_NS(d17:1/25:4)+HCO2,848.62581,802.62031,640.56751,398.34297,355.32487,223.20728,179.05615
GlcCer_NS(d17:1/26:0)+HCO2,870.70411,824.69861,662.64581,420.42127,377.40317,223.20728,179.05615
GlcCer_NS(d17:1/26:1)+HCO2,868.68845,822.68295,660.63015,418.40561,375.38751,223.20728,179.05615
GlcCer_NS(d17:1/26:2)+HCO2,866.67279,820.66729,658.61449,416.38995,373.37185,223.20728,179.05615
GlcCer_NS(d17:1/26:3)+HCO2,864.65713,818.65163,656.59883,414.37429,371.35619,223.20728,179.05615
