HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t14:2/35:1)+HCO2,982.7559,936.7504,774.6976,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t14:2/36:0)+HCO2,998.7872,952.7817,790.7288,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t14:2/36:1)+HCO2,996.7715,950.7661,788.7132,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t14:2/36:2)+HCO2,994.7559,948.7504,786.6976,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t14:2/38:0)+HCO2,1026.818,980.813,818.7601,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t14:2/38:1)+HCO2,1024.803,978.7973,816.7445,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t14:2/38:2)+HCO2,1022.787,976.7817,814.7288,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t14:2/40:0)+HCO2,1054.85,1008.844,846.7914,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t14:2/40:1)+HCO2,1052.834,1006.829,844.7758,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t14:2/40:2)+HCO2,1050.818,1004.813,842.7601,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t14:2/42:0)+HCO2,1082.881,1036.876,874.8228,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t14:2/42:1)+HCO2,1080.865,1034.86,872.8071,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t14:2/42:2)+HCO2,1078.85,1032.844,870.7914,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t15:0/12:0)+HCO2,680.4585,634.453,472.4002,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t15:0/12:1)+HCO2,678.4429,632.4374,470.3846,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t15:0/13:0)+HCO2,694.4741,648.4687,486.4158,284.222,254.2115,229.1809,179.0556,183.1754
