PE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
PE(15:1_17:1)+Na,710.4731178,667.4309178,569.4540235,427.2221378,399.1908378,164.00888
PE(15:1_17:2)+Na,708.4575178,665.4153178,567.4384235,425.2065378,399.1908378,164.00888
PE(15:1_18:0)+Na,726.5044178,683.4622178,585.4853235,443.2534378,399.1908378,164.00888
PE(15:1_18:1)+Na,724.4888178,681.4466178,583.4697235,441.2378378,399.1908378,164.00888
PE(15:1_18:2)+Na,722.4731178,679.4309178,581.4540235,439.2221378,399.1908378,164.00888
PE(15:1_18:3)+Na,720.4575178,677.4153178,579.4384235,437.2065378,399.1908378,164.00888
PE(15:1_18:4)+Na,718.4418178,675.3996178,577.4227235,435.1908378,399.1908378,164.00888
PE(15:1_19:0)+Na,740.5201178,697.4779178,599.5010235,457.2691378,399.1908378,164.00888
PE(15:1_20:0)+Na,754.5357178,711.4935178,613.5166235,471.2847378,399.1908378,164.00888
PE(15:1_20:1)+Na,752.5201178,709.4779178,611.5010235,469.2691378,399.1908378,164.00888
PE(15:1_20:2)+Na,750.5044178,707.4622178,609.4853235,467.2534378,399.1908378,164.00888
PE(15:1_20:3)+Na,748.4888178,705.4466178,607.4697235,465.2378378,399.1908378,164.00888
PE(15:1_20:4)+Na,746.4731178,703.4309178,605.4540235,463.2221378,399.1908378,164.00888
PE(15:1_20:5)+Na,744.4575178,701.4153178,603.4384235,461.2065378,399.1908378,164.00888
PE(15:1_21:0)+Na,768.5514178,725.5092178,627.5323235,485.3004378,399.1908378,164.00888
PE(15:1_22:0)+Na,782.5670178,739.5248178,641.5479235,499.3160378,399.1908378,164.00888
PE(15:1_22:1)+Na,780.5514178,737.5092178,639.5323235,497.3004378,399.1908378,164.00888
PE(15:1_22:2)+Na,778.5357178,735.4935178,637.5166235,495.2847378,399.1908378,164.00888
PE(15:1_22:3)+Na,776.5201178,733.4779178,635.5010235,493.2691378,399.1908378,164.00888
PE(15:1_22:4)+Na,774.5044178,731.4622178,633.4853235,491.2534378,399.1908378,164.00888
PE(15:1_22:5)+Na,772.4888178,729.4466178,631.4697235,489.2378378,399.1908378,164.00888
