PA,[M+H]+,NL_head,NL_T1_RCOOH,NL_T2_RCOOH,T1_RCO+,T2_RCO+
PA(15:0_22:2)+H,715.5273,617.55039,393.33634,299.25814,225.22135,319.29955
PA(15:0_22:3)+H,713.5117,615.53479,391.32074,299.25814,225.22135,317.28395
PA(15:0_22:4)+H,711.496,613.51909,389.30504,299.25814,225.22135,315.26825
PA(15:0_22:5)+H,709.4804,611.50349,387.28944,299.25814,225.22135,313.25265
PA(15:0_22:6)+H,707.4647,609.48779,385.27374,299.25814,225.22135,311.23695
PA(15:0_23:0)+H,733.5743,635.59739,411.38334,299.25814,225.22135,337.34655
PA(15:0_24:0)+H,747.5899,649.61299,425.39894,299.25814,225.22135,351.36215
PA(15:0_24:1)+H,745.5743,647.59739,423.38334,299.25814,225.22135,349.34655
PA(15:0_25:0)+H,761.6056,663.62869,439.41464,299.25814,225.22135,365.37785
PA(15:0_26:0)+H,775.6212,677.64429,453.43024,299.25814,225.22135,379.39345
PA(15:1_15:1)+H,617.4177,519.44079,297.24244,297.24244,223.20565,223.20565
PA(15:1_16:0)+H,633.449,535.47209,313.27374,297.24244,223.20565,239.23695
PA(15:1_16:1)+H,631.4334,533.45649,311.25814,297.24244,223.20565,237.22135
PA(15:1_17:0)+H,647.4647,549.48779,327.28944,297.24244,223.20565,253.25265
PA(15:1_17:1)+H,645.449,547.47209,325.27374,297.24244,223.20565,251.23695
PA(15:1_17:2)+H,643.4334,545.45649,323.25814,297.24244,223.20565,249.22135
PA(15:1_18:0)+H,661.4803,563.50339,341.30504,297.24244,223.20565,267.26825
PA(15:1_18:1)+H,659.4647,561.48779,339.28944,297.24244,223.20565,265.25265
PA(15:1_18:2)+H,657.449,559.47209,337.27374,297.24244,223.20565,263.23695
PA(15:1_18:3)+H,655.4334,557.45649,335.25814,297.24244,223.20565,261.22135
PA(15:1_18:4)+H,653.4177,555.44079,333.24244,297.24244,223.20565,259.20565
PA(15:1_19:0)+H,675.496,577.51909,355.32074,297.24244,223.20565,281.28395
PA(15:1_20:0)+H,689.5116,591.53469,369.33634,297.24244,223.20565,295.29955
PA(15:1_20:1)+H,687.496,589.51909,367.32074,297.24244,223.20565,293.28395
PA(15:1_20:2)+H,685.4803,587.50339,365.30504,297.24244,223.20565,291.26825
PA(15:1_20:3)+H,683.4647,585.48779,363.28944,297.24244,223.20565,289.25265
PA(15:1_20:4)+H,681.449,583.47209,361.27374,297.24244,223.20565,287.23695
PA(15:1_20:5)+H,679.4334,581.45649,359.25814,297.24244,223.20565,285.22135
PA(15:1_21:0)+H,703.5273,605.55039,383.35204,297.24244,223.20565,309.31525
PA(15:1_22:0)+H,717.5429,619.56599,397.36764,297.24244,223.20565,323.33085
PA(15:1_22:1)+H,715.5273,617.55039,395.35204,297.24244,223.20565,321.31525
PA(15:1_22:2)+H,713.5116,615.53469,393.33634,297.24244,223.20565,319.29955
PA(15:1_22:3)+H,711.496,613.51909,391.32074,297.24244,223.20565,317.28395
PA(15:1_22:4)+H,709.4803,611.50339,389.30504,297.24244,223.20565,315.26825
PA(15:1_22:5)+H,707.4647,609.48779,387.28944,297.24244,223.20565,313.25265
PA(15:1_22:6)+H,705.449,607.47209,385.27374,297.24244,223.20565,311.23695
PA(15:1_23:0)+H,731.5586,633.58169,411.38334,297.24244,223.20565,337.34655
PA(15:1_24:0)+H,745.5742,647.59729,425.39894,297.24244,223.20565,351.36215
PA(15:1_24:1)+H,743.5586,645.58169,423.38334,297.24244,223.20565,349.34655
PA(15:1_25:0)+H,759.5899,661.61299,439.41464,297.24244,223.20565,365.37785
PA(15:1_26:0)+H,773.6055,675.62859,453.43024,297.24244,223.20565,379.39345
PA(16:0_16:0)+H,649.4803,551.50339,313.27374,313.27374,239.23695,239.23695
PA(16:0_16:1)+H,647.4647,549.48779,311.25814,313.27374,239.23695,237.22135
PA(16:0_17:0)+H,663.496,565.51909,327.28944,313.27374,239.23695,253.25265
PA(16:0_17:1)+H,661.4803,563.50339,325.27374,313.27374,239.23695,251.23695
PA(16:0_17:2)+H,659.4647,561.48779,323.25814,313.27374,239.23695,249.22135
PA(16:0_18:0)+H,677.5116,579.53469,341.30504,313.27374,239.23695,267.26825
PA(16:0_18:1)+H,675.496,577.51909,339.28944,313.27374,239.23695,265.25265
PA(16:0_18:2)+H,673.4803,575.50339,337.27374,313.27374,239.23695,263.23695
PA(16:0_18:3)+H,671.4647,573.48779,335.25814,313.27374,239.23695,261.22135
PA(16:0_18:4)+H,669.449,571.47209,333.24244,313.27374,239.23695,259.20565
PA(16:0_19:0)+H,691.5273,593.55039,355.32074,313.27374,239.23695,281.28395
PA(16:0_20:0)+H,705.5429,607.56599,369.33634,313.27374,239.23695,295.29955
PA(16:0_20:1)+H,703.5273,605.55039,367.32074,313.27374,239.23695,293.28395
PA(16:0_20:2)+H,701.5116,603.53469,365.30504,313.27374,239.23695,291.26825
