ether-TG,[M+NH4],NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmanyl-TG(O-16:0_14:0_18:3)+NH4,804.74405,559.50845,509.49275,211.20564,261.22134,285.2424364,335.2581364,267.2318714,317.2475714
plasmanyl-TG(O-16:0_14:0_18:4)+NH4,802.72835,557.49275,509.49275,211.20564,259.20564,285.2424364,333.2424364,267.2318714,315.2318714
plasmanyl-TG(O-16:0_14:0_19:0)+NH4,824.80665,579.57105,509.49275,211.20564,281.28394,285.2424364,355.3207364,267.2318714,337.3101714
plasmanyl-TG(O-16:0_14:0_20:0)+NH4,838.82225,593.58665,509.49275,211.20564,295.29954,285.2424364,369.3363364,267.2318714,351.3257714
plasmanyl-TG(O-16:0_14:0_20:1)+NH4,836.80665,591.57105,509.49275,211.20564,293.28394,285.2424364,367.3207364,267.2318714,349.3101714
plasmanyl-TG(O-16:0_14:0_20:2)+NH4,834.79095,589.55535,509.49275,211.20564,291.26824,285.2424364,365.3050364,267.2318714,347.2944714
plasmanyl-TG(O-16:0_14:0_20:3)+NH4,832.77535,587.53975,509.49275,211.20564,289.25264,285.2424364,363.2894364,267.2318714,345.2788714
plasmanyl-TG(O-16:0_14:0_20:4)+NH4,830.75965,585.52405,509.49275,211.20564,287.23694,285.2424364,361.2737364,267.2318714,343.2631714
plasmanyl-TG(O-16:0_14:0_20:5)+NH4,828.74405,583.50845,509.49275,211.20564,285.22134,285.2424364,359.2581364,267.2318714,341.2475714
plasmanyl-TG(O-16:0_14:0_21:0)+NH4,852.83795,607.60235,509.49275,211.20564,309.31524,285.2424364,383.3520364,267.2318714,365.3414714
plasmanyl-TG(O-16:0_14:0_22:0)+NH4,866.85355,621.61795,509.49275,211.20564,323.33084,285.2424364,397.3676364,267.2318714,379.3570714
plasmanyl-TG(O-16:0_14:0_22:1)+NH4,864.83795,619.60235,509.49275,211.20564,321.31524,285.2424364,395.3520364,267.2318714,377.3414714
plasmanyl-TG(O-16:0_14:0_22:2)+NH4,862.82225,617.58665,509.49275,211.20564,319.29954,285.2424364,393.3363364,267.2318714,375.3257714
plasmanyl-TG(O-16:0_14:0_22:3)+NH4,860.80665,615.57105,509.49275,211.20564,317.28394,285.2424364,391.3207364,267.2318714,373.3101714
plasmanyl-TG(O-16:0_14:0_22:4)+NH4,858.79095,613.55535,509.49275,211.20564,315.26824,285.2424364,389.3050364,267.2318714,371.2944714
