Cer_NDS,[M+HCO2]-,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer_NDS(d17:0/21:1)+HCO2,638.57285,592.56745,560.54115,544.54625,286.27565,364.32215,348.32725,322.31215,225.22295,305.30935
Cer_NDS(d17:0/21:2)+HCO2,636.55725,590.55175,558.52555,542.53065,286.27565,362.30645,346.31155,320.29645,225.22295,303.29375
Cer_NDS(d17:0/21:3)+HCO2,634.54165,588.53615,556.50985,540.51505,286.27565,360.29085,344.29585,318.28075,225.22295,301.27805
Cer_NDS(d17:0/21:4)+HCO2,632.52595,586.52055,554.49425,538.49935,286.27565,358.27515,342.28025,316.26515,225.22295,299.26235
Cer_NDS(d17:0/22:0)+HCO2,654.60415,608.59875,576.57255,560.57755,286.27565,380.35345,364.35845,338.34335,225.22295,321.34065
Cer_NDS(d17:0/22:1)+HCO2,652.58855,606.58305,574.55685,558.56195,286.27565,378.33775,362.34285,336.32775,225.22295,319.32505
Cer_NDS(d17:0/22:2)+HCO2,650.57285,604.56745,572.54115,556.54625,286.27565,376.32215,360.32725,334.31215,225.22295,317.30935
Cer_NDS(d17:0/22:3)+HCO2,648.55725,602.55175,570.52555,554.53065,286.27565,374.30645,358.31155,332.29645,225.22295,315.29375
Cer_NDS(d17:0/22:4)+HCO2,646.54165,600.53615,568.50985,552.51505,286.27565,372.29085,356.29585,330.28075,225.22295,313.27805
Cer_NDS(d17:0/23:0)+HCO2,668.61985,622.61435,590.58815,574.59325,286.27565,394.36905,378.37415,352.35905,225.22295,335.35625
Cer_NDS(d17:0/23:1)+HCO2,666.60415,620.59875,588.57255,572.57755,286.27565,392.35345,376.35845,350.34335,225.22295,333.34065
Cer_NDS(d17:0/23:2)+HCO2,664.58855,618.58305,586.55685,570.56195,286.27565,390.33775,374.34285,348.32775,225.22295,331.32505
Cer_NDS(d17:0/23:3)+HCO2,662.57285,616.56745,584.54115,568.54625,286.27565,388.32215,372.32725,346.31215,225.22295,329.30935
Cer_NDS(d17:0/23:4)+HCO2,660.55725,614.55175,582.52555,566.53065,286.27565,386.30645,370.31155,344.29645,225.22295,327.29375
Cer_NDS(d17:0/24:0)+HCO2,682.63545,636.63005,604.60385,588.60885,286.27565,408.38475,392.38985,366.37465,225.22295,349.37195
Cer_NDS(d17:0/24:1)+HCO2,680.61985,634.61435,602.58815,586.59325,286.27565,406.36905,390.37415,364.35905,225.22295,347.35625
Cer_NDS(d17:0/24:2)+HCO2,678.60415,632.59875,600.57255,584.57755,286.27565,404.35345,388.35845,362.34335,225.22295,345.34065
Cer_NDS(d17:0/24:3)+HCO2,676.58855,630.58305,598.55685,582.56195,286.27565,402.33775,386.34285,360.32775,225.22295,343.32505
Cer_NDS(d17:0/24:4)+HCO2,674.57285,628.56745,596.54115,580.54625,286.27565,400.32215,384.32725,358.31215,225.22295,341.30935
Cer_NDS(d17:0/25:0)+HCO2,696.65115,650.64565,618.61945,602.62455,286.27565,422.40035,406.40545,380.39035,225.22295,363.38765
Cer_NDS(d17:0/25:1)+HCO2,694.63545,648.63005,616.60385,600.60885,286.27565,420.38475,404.38985,378.37465,225.22295,361.37195
Cer_NDS(d17:0/25:2)+HCO2,692.61985,646.61435,614.58815,598.59325,286.27565,418.36905,402.37415,376.35905,225.22295,359.35625
Cer_NDS(d17:0/25:3)+HCO2,690.60415,644.59875,612.57255,596.57755,286.27565,416.35345,400.35845,374.34335,225.22295,357.34065
Cer_NDS(d17:0/25:4)+HCO2,688.58855,642.58305,610.55685,594.56195,286.27565,414.33775,398.34285,372.32775,225.22295,355.32505
Cer_NDS(d17:0/26:0)+HCO2,710.66685,664.66135,632.63515,616.64015,286.27565,436.41605,420.42115,394.40595,225.22295,377.40325
Cer_NDS(d17:0/26:1)+HCO2,708.65115,662.64565,630.61945,614.62455,286.27565,434.40035,418.40545,392.39035,225.22295,375.38765
Cer_NDS(d17:0/26:2)+HCO2,706.63545,660.63005,628.60385,612.60885,286.27565,432.38475,416.38985,390.37465,225.22295,373.37195
Cer_NDS(d17:0/26:3)+HCO2,704.61985,658.61435,626.58815,610.59325,286.27565,430.36905,414.37415,388.35905,225.22295,371.35625
Cer_NDS(d17:0/26:4)+HCO2,702.60415,656.59875,624.57255,608.57755,286.27565,428.35345,412.35845,386.34335,225.22295,369.34065
Cer_NDS(d17:0/27:0)+HCO2,724.68245,678.67705,646.65075,630.65585,286.27565,450.43165,434.43675,408.42165,225.22295,391.41885
Cer_NDS(d17:0/27:1)+HCO2,722.66685,676.66135,644.63515,628.64015,286.27565,448.41605,432.42115,406.40595,225.22295,389.40325
Cer_NDS(d17:0/27:2)+HCO2,720.65115,674.64565,642.61945,626.62455,286.27565,446.40035,430.40545,404.39035,225.22295,387.38765
Cer_NDS(d17:0/27:3)+HCO2,718.63545,672.63005,640.60385,624.60885,286.27565,444.38475,428.38985,402.37465,225.22295,385.37195
Cer_NDS(d17:0/27:4)+HCO2,716.61985,670.61435,638.58815,622.59325,286.27565,442.36905,426.37415,400.35905,225.22295,383.35625
Cer_NDS(d17:0/28:0)+HCO2,738.69815,692.69265,660.66635,644.67155,286.27565,464.44735,448.45235,422.43725,225.22295,405.43455
Cer_NDS(d17:0/28:1)+HCO2,736.68245,690.67705,658.65075,642.65585,286.27565,462.43165,446.43675,420.42165,225.22295,403.41885
