PS,[M+H]+,NL_head,T1RCOO+58,T2RCOO+58,T1_RCO+,T2_RCO+
PS(15:0_21:0)+H,792.57506,607.56611,383.35206,299.25816,225.22135,309.31525
PS(15:0_22:0)+H,806.59066,621.58171,397.36766,299.25816,225.22135,323.33085
PS(15:0_22:1)+H,804.57506,619.56611,395.35206,299.25816,225.22135,321.31525
PS(15:0_22:2)+H,802.55936,617.55041,393.33636,299.25816,225.22135,319.29955
PS(15:0_22:3)+H,800.54376,615.53481,391.32076,299.25816,225.22135,317.28395
PS(15:0_22:4)+H,798.52806,613.51911,389.30506,299.25816,225.22135,315.26825
PS(15:0_22:5)+H,796.51246,611.50351,387.28946,299.25816,225.22135,313.25265
PS(15:0_22:6)+H,794.49676,609.48781,385.27376,299.25816,225.22135,311.23695
PS(15:0_23:0)+H,820.60636,635.59741,411.38336,299.25816,225.22135,337.34655
PS(15:0_24:0)+H,834.62196,649.61301,425.39896,299.25816,225.22135,351.36215
PS(15:0_24:1)+H,832.60636,647.59741,423.38336,299.25816,225.22135,349.34655
PS(15:0_25:0)+H,848.63766,663.62871,439.41466,299.25816,225.22135,365.37785
PS(15:0_26:0)+H,862.65326,677.64431,453.43026,299.25816,225.22135,379.39345
PS(15:1_15:1)+H,704.44976,519.44081,297.24246,297.24246,223.20565,223.20565
PS(15:1_16:0)+H,720.48106,535.47211,313.27376,297.24246,223.20565,239.23695
PS(15:1_16:1)+H,718.46546,533.45651,311.25816,297.24246,223.20565,237.22135
PS(15:1_17:0)+H,734.49676,549.48781,327.28946,297.24246,223.20565,253.25265
PS(15:1_17:1)+H,732.48106,547.47211,325.27376,297.24246,223.20565,251.23695
PS(15:1_17:2)+H,730.46546,545.45651,323.25816,297.24246,223.20565,249.22135
PS(15:1_18:0)+H,748.51236,563.50341,341.30506,297.24246,223.20565,267.26825
PS(15:1_18:1)+H,746.49676,561.48781,339.28946,297.24246,223.20565,265.25265
PS(15:1_18:2)+H,744.48106,559.47211,337.27376,297.24246,223.20565,263.23695
PS(15:1_18:3)+H,742.46546,557.45651,335.25816,297.24246,223.20565,261.22135
PS(15:1_18:4)+H,740.44976,555.44081,333.24246,297.24246,223.20565,259.20565
PS(15:1_19:0)+H,762.52806,577.51911,355.32076,297.24246,223.20565,281.28395
PS(15:1_20:0)+H,776.54366,591.53471,369.33636,297.24246,223.20565,295.29955
PS(15:1_20:1)+H,774.52806,589.51911,367.32076,297.24246,223.20565,293.28395
PS(15:1_20:2)+H,772.51236,587.50341,365.30506,297.24246,223.20565,291.26825
PS(15:1_20:3)+H,770.49676,585.48781,363.28946,297.24246,223.20565,289.25265
PS(15:1_20:4)+H,768.48106,583.47211,361.27376,297.24246,223.20565,287.23695
